时间(s),X坐标(m),Y坐标(m)
572.8,-62.9417161,15.19893314
573.05,-66.3926474,11.17385921
573.3,-68.98387099,4.620379314
573.55,-62.20171504,12.73376924
573.8,-61.50251822,5.929869897
574.05,-65.09905646,7.324153384
574.3,-57.93700996,-7.357053245
574.55,-62.92363985,0.602135335
574.8,-68.54604487,-1.110698582
575.05,-68.14575235,6.305808993
575.3,-62.94101636,-0.056940641
575.55,-66.18610622,-2.490708242
575.8,-59.66662409,-3.712866492
576.05,-68.71651591,0.058234632
576.3,-59.76865076,-0.870651589
576.55,-58.67338889,-0.1808275
576.8,-60.42837708,0.888834851
577.05,-64.18636888,-3.235710209
577.3,-65.83471462,1.163020836
577.55,-60.41647784,-3.142788586
577.8,-69.25205075,-0.875829844
578.05,-57.11487809,-2.573242725
578.3,-63.07187919,-3.013475202
578.55,-60.39972486,-6.635546235
578.8,-57.03192568,0.224157873
579.05,-69.04942455,-8.953650741
579.3,-70.74272077,-2.767889122
579.55,-61.71116552,-9.843031382
579.8,-58.69361657,-12.12327321
580.05,-66.96079382,-0.074629558
580.3,-68.61272854,-11.15697299
580.55,-61.38143577,-16.01547452
580.8,-57.14966934,-6.418325101
581.05,-59.90997816,-12.82340629
581.3,-61.89113397,-13.26589774
581.55,-58.47691293,-9.543553075
581.8,-60.3097297,-6.181310462
582.05,-66.22337418,-11.04436952
582.3,-59.46812728,-11.94046896
582.55,-64.54904135,-16.25058652
582.8,-62.5745825,-17.1182224
583.05,-61.32125992,-11.58763058
583.3,-66.84251325,-12.61625616
583.55,-67.4977693,-10.77104829
583.8,-65.0709508,-12.92020364
584.05,-62.30711388,-13.72169289
584.3,-61.52825441,-18.44100472
584.55,-63.71350011,-13.99767001
584.8,-66.26111811,-11.29054661
585.05,-51.30152115,-17.05051669
585.3,-63.53596243,-21.11958678
585.55,-60.72147455,-12.51870314
585.8,-54.92749851,-23.17768932
586.05,-62.70216494,-22.02675074
586.3,-57.69033053,-15.82009817
586.55,-52.60883859,-23.56031761
586.8,-52.22645258,-30.63223729
587.05,-63.24063266,-22.58171833
587.3,-60.14276205,-23.30098969
587.55,-54.32343145,-26.42324977
587.8,-63.98618563,-23.07071089
588.05,-51.80379736,-25.55131096
588.3,-54.17486854,-31.17943253
588.55,-48.10287564,-29.86496996
588.8,-44.95183453,-25.63128688
589.05,-58.48774276,-27.29974247
589.3,-56.14232763,-30.37143239
589.55,-51.94899331,-32.32331418
589.8,-56.53942033,-29.00888147
590.05,-54.89912967,-35.79292208
590.3,-53.25645714,-34.32987802
590.55,-53.83187814,-33.83542261
590.8,-52.42475079,-38.17832539
591.05,-54.87996973,-33.23573775
591.3,-51.81851519,-38.13402149
591.55,-53.62878329,-32.31607437
591.8,-52.3386123,-41.20290597
592.05,-59.72409401,-37.90757142
592.3,-63.08946797,-43.38171201
592.55,-58.28305079,-39.56767901
592.8,-46.28345402,-34.35084131
593.05,-49.5909216,-37.13203426
593.3,-51.55730957,-35.01556508
593.55,-50.75996052,-34.90183216
593.8,-47.82604,-35.53504908
594.05,-48.14670139,-31.17149511
594.3,-52.15898281,-39.83578255
594.55,-50.53895052,-35.65178302
594.8,-51.7671089,-35.54502452
595.05,-53.57928809,-41.02836244
595.3,-51.51430646,-49.83104906
595.55,-54.91968384,-38.42548792
595.8,-53.15459163,-38.57621027
596.05,-52.82941618,-36.98073945
596.3,-52.870903,-35.5937681
596.55,-49.08995762,-37.38480999
596.8,-48.99389143,-43.20269436
597.05,-49.05253724,-35.91305592
597.3,-39.94734622,-46.66515445
597.55,-44.79888809,-44.62926915
597.8,-47.8798819,-43.52273734
598.05,-45.75607262,-45.43557589
598.3,-44.68898204,-40.48092589
598.55,-41.92935523,-39.11938475
598.8,-41.94976449,-47.51485111
599.05,-44.14732108,-45.95686798
599.3,-44.13384233,-54.005192
599.55,-40.51862693,-44.03017967
599.8,-44.50263879,-43.72923781
600.05,-31.82611599,-47.26407495
600.3,-43.39114864,-48.65508143
600.55,-48.02369659,-49.70745192
600.8,-38.5124809,-52.77067692
601.05,-38.99331001,-49.51889937
601.3,-41.77524229,-46.96225101
601.55,-36.54675277,-52.01207492
601.8,-36.08419764,-49.87081033
602.05,-28.36697029,-56.96135219
602.3,-40.05874084,-52.13820091
602.55,-34.55818262,-54.72447388
602.8,-33.61252043,-53.00810447
603.05,-27.59698149,-53.55902822
603.3,-38.6224608,-60.2830484
603.55,-36.54716027,-56.94760586
603.8,-30.84777912,-56.94179572
604.05,-30.22836064,-58.06260964
604.3,-28.34465858,-53.92093264
604.55,-21.98426515,-54.9058465
604.8,-23.41726182,-60.68999989
605.05,-31.2578408,-63.32258478
605.3,-29.31154374,-56.47401608
