时间(s),X坐标(m),Y坐标(m)
534.2358000003,-20.37070376,64.11673281
534.4358000003,-10.55900123,66.86254809
534.6358000003,-13.5235034,62.52895525
534.8358000003,-14.72948701,58.67778382
535.0358000003,-12.77096271,65.98107517
535.2358000003,-15.15326809,65.45208353
535.4358000003,-19.16047684,64.51070972
535.6358000003,-13.7354988,57.86937687
535.8358000003,-16.54088298,63.33951076
536.0358000003,-23.09113483,65.44545712
536.2358000003,-16.24191911,60.54171283
536.4358000003,-13.14074473,58.85981898
536.6358000003,-16.63030617,65.21989513
536.8358000003,-17.69985192,58.41892544
537.0358000003,-21.56380809,61.19960693
537.2358000003,-20.60782183,60.53497307
537.4358000003,-20.5777116,59.50082682
537.6358000003,-19.19046668,62.58942448
537.8358000003,-20.76465814,60.10794637
538.0358000003,-21.87604109,61.36542691
538.2358000003,-21.01791632,58.96395912
538.4358000003,-19.77145169,58.11430656
538.6358000003,-13.67402625,53.9404428
538.8358000003,-20.76247102,59.52028994
539.0358000003,-22.77309736,58.59773701
539.2358000003,-19.87906915,61.69275848
539.4358000003,-22.56602747,59.96773286
539.6358000003,-17.78843234,65.64131473
539.8358000003,-18.38967821,55.94422145
540.0358000003,-25.11881411,56.01450246
540.2358000003,-25.44896287,63.93836228
540.4358000003,-19.21074371,63.1678487
540.6358000003,-22.87841754,63.43238294
540.8358000003,-18.34620312,60.54146419
541.0358000003,-18.98066597,63.72963437
541.2358000003,-19.53798584,56.89798777
541.4358000003,-21.24542005,60.79065856
541.6358000003,-26.27148608,64.12265961
541.8358000003,-26.84335701,62.97335397
542.0358000003,-27.43818911,60.70665707
542.2358000003,-19.75688831,55.8862108
542.4358000003,-23.61311773,59.32395384
542.6358000003,-27.45002205,61.83090042
542.8358000003,-23.55458865,58.10005912
543.0358000003,-26.37185422,52.1627793
543.2358000003,-32.93727919,58.15902873
543.4358000003,-25.26490816,59.86346665
543.6358000003,-30.9799759,56.93800065
543.8358000003,-23.9161185,61.45365798
544.0358000003,-27.56064679,55.77294948
544.2358000003,-30.22384113,60.88842104
544.4358000003,-23.27589456,56.87905556
544.6358000003,-29.33877823,53.56230801
544.8358000003,-25.60495922,56.24483389
545.0358000003,-31.80552965,56.78444413
545.2358000003,-26.11337094,55.86430055
545.4358000003,-27.12830662,53.28841922
545.6358000003,-35.14460947,58.47872826
545.8358000003,-28.39752821,53.89258732
546.0358000003,-26.12234223,54.2888905
546.2358000003,-30.35949925,56.35133253
546.4358000003,-25.99304524,50.24924291
546.6358000003,-26.44825307,53.73167037
546.8358000003,-27.01917448,55.60225947
547.0358000003,-28.67558335,52.69523664
547.2358000003,-28.56744726,55.99629436
547.4358000003,-28.8934167,58.66572721
547.6358000003,-34.34259321,60.60048265
547.8358000003,-33.66022221,57.4235168
548.0358000003,-31.65862677,53.32743381
548.2358000003,-32.43173556,55.88230198
548.4358000003,-31.19184225,56.94319967
548.6358000003,-30.10983149,55.06630897
548.8358000003,-32.73959529,55.78965034
549.0358000003,-27.67231443,52.11251729
549.2358000003,-32.34923909,50.69652276
549.4358000003,-29.38642097,54.74059068
549.6358000003,-33.77911951,52.14523945
549.8358000003,-29.36685371,51.98214831
550.0358000003,-33.02988637,59.49927366
550.2358000003,-33.11060624,51.85894494
550.4358000003,-36.41451693,56.71054059
550.6358000003,-33.72148335,53.87623462
550.8358000003,-33.05845972,55.96310793
551.0358000003,-32.47087804,56.05849109
551.2358000003,-40.23090017,57.58531194
551.4358000003,-31.75994742,53.7667861
551.6358000003,-38.90487068,55.19044367
551.8358000003,-33.16530938,58.24681931
552.0358000003,-34.34885047,53.35562076
552.2358000003,-38.77756949,54.86688991
552.4358000003,-36.20760319,51.80671344
552.6358000003,-36.51096963,59.79084295
552.8358000003,-39.62513673,52.05113153
553.0358000003,-36.27147306,57.36783678
553.2358000003,-37.1528314,54.30814271
553.4358000003,-38.97299661,55.07734484
553.6358000003,-36.84683887,57.21669976
553.8358000003,-30.32730424,49.73866218
554.0358000003,-35.33342956,48.22727141
554.2358000003,-32.6954655,51.17586481
554.4358000003,-42.65551919,47.9066492
554.6358000003,-35.39037479,47.65110162
554.8358000003,-41.29337491,46.3079193
555.0358000003,-36.1538581,50.88230058
555.2358000003,-39.8951112,50.02305597
555.4358000003,-41.91946324,51.69681072
555.6358000003,-43.28121193,49.81546898
555.8358000003,-47.20421205,50.28400225
556.0358000003,-38.40992729,48.94244628
556.2358000003,-39.55696033,53.66656368
556.4358000003,-37.14817545,51.10204978
556.6358000003,-44.44498831,47.57269277
556.8358000003,-45.08220985,42.50069987
557.0358000003,-43.16075127,44.19544955
557.2358000003,-42.13926712,48.54629827
557.4358000003,-49.18327885,46.49022197
557.6358000003,-50.28541507,44.91471942
557.8358000003,-48.55221273,47.50727997
558.0358000003,-48.38037216,43.47921559
558.2358000003,-48.52484482,41.44807457
558.4358000003,-50.71154002,43.28556453
558.6358000003,-50.31339864,39.02074848
558.8358000003,-53.31637221,41.13846523
559.0358000003,-48.35437533,35.76580284
559.2358000003,-51.49880004,37.2499991
559.4358000003,-48.68877961,38.86435119
559.6358000003,-47.5206619,40.36621869
559.8358000003,-53.5317612,41.21923244
560.0358000003,-53.45445091,34.99367726
560.2358000003,-51.7512348,35.6546331
560.4358000003,-50.06790055,33.25040617
560.6358000003,-52.95109687,36.05815484
560.8358000003,-56.74852029,26.41820146
561.0358000003,-53.47775819,38.15333038
561.2358000003,-55.89353355,31.42143294
561.4358000003,-57.04242337,35.72635833
561.6358000003,-48.23585932,32.10134806
561.8358000003,-58.23606124,31.18088067
562.0358000003,-53.77966782,33.96596153
562.2358000003,-54.420427,28.76070914
562.4358000003,-58.5594275,37.21493398
562.6358000003,-56.45925561,30.67598544
562.8358000003,-54.57226236,31.30346679
563.0358000003,-54.47191791,31.53397847
563.2358000003,-55.56155594,27.91330473
563.4358000003,-56.68174159,31.96488071
563.6358000003,-54.37114804,26.4972964
563.8358000003,-54.30974881,32.50496856
564.0358000003,-54.32939041,31.69579799
564.2358000003,-53.93482788,28.53627282
564.4358000003,-57.06609628,21.61707532
564.6358000003,-64.18842091,27.14257073
564.8358000003,-49.79770803,36.04854204
565.0358000003,-57.17072571,26.23836963
565.2358000003,-51.70896193,28.29214406
565.4358000003,-55.17027153,30.25322239
565.6358000003,-60.0307025,29.83203633
565.8358000003,-52.10149757,22.05874754
566.0358000003,-61.46245283,27.6153062
566.2358000003,-56.19095248,30.87557479
566.4358000003,-58.89633714,25.21293268
566.6358000003,-52.91502691,24.66074172
566.8358000003,-59.69230415,23.23885783
567.0358000003,-63.34356723,26.03623836
567.2358000003,-59.37676639,17.73283219
567.4358000003,-57.22848228,24.85286618
567.6358000003,-55.96921612,24.64659491
567.8358000003,-63.45120591,20.63991275
568.0358000003,-61.56943615,31.19063
568.2358000003,-62.39598673,19.22796598
568.4358000003,-57.26231193,26.22092564
568.6358000003,-64.59972056,20.30636189
568.8358000003,-64.11660836,22.41093471
569.0358000003,-57.53928446,20.57986095
569.2358000003,-59.81529327,22.23543169
569.4358000003,-62.64721236,16.729887
569.6358000003,-61.96917806,16.98904737
569.8358000003,-59.90317351,23.92625446
570.0358000003,-60.83630933,19.80878596
570.2358000003,-63.22099408,24.66510697
570.4358000003,-60.04904708,20.36086535
570.6358000003,-56.55696387,16.54426088
570.8358000003,-59.16112271,20.20447453
571.0358000003,-61.76318188,12.27842009
571.2358000003,-63.40153846,13.66293167
571.4358000003,-59.83650942,15.46822805
571.6358000003,-55.81203743,10.67665141
