date,wind_direction_10m_dominant,wind_speed_10m_mean,weather_code
2016-12-06 00:00:00+00:00,151.54114,6.0584617,3.0
2016-12-07 00:00:00+00:00,168.99367,8.438246,3.0
2016-12-08 00:00:00+00:00,194.61398,10.751136,3.0
2016-12-09 00:00:00+00:00,197.03648,9.599674,3.0
2016-12-10 00:00:00+00:00,215.795,10.934613,3.0
2016-12-11 00:00:00+00:00,270.946,9.580466,51.0
2016-12-12 00:00:00+00:00,176.46156,9.131679,51.0
2016-12-13 00:00:00+00:00,185.84596,8.990958,51.0
2016-12-14 00:00:00+00:00,138.09418,7.985765,3.0
2016-12-15 00:00:00+00:00,143.94879,8.06602,3.0
2016-12-16 00:00:00+00:00,111.62208,7.209851,2.0
2016-12-17 00:00:00+00:00,0.6820402,5.5420194,3.0
2016-12-18 00:00:00+00:00,45.78474,4.823475,3.0
2016-12-19 00:00:00+00:00,52.934734,9.876807,3.0
2016-12-20 00:00:00+00:00,153.0446,7.3622036,51.0
2016-12-21 00:00:00+00:00,191.82784,15.34383,55.0
2016-12-22 00:00:00+00:00,227.50941,11.059794,61.0
2016-12-23 00:00:00+00:00,203.90202,11.982109,3.0
2016-12-24 00:00:00+00:00,242.38144,15.139642,3.0
2016-12-25 00:00:00+00:00,230.35213,15.411355,3.0
2016-12-26 00:00:00+00:00,269.60556,11.94914,51.0
2016-12-27 00:00:00+00:00,40.83187,7.1402392,3.0
2016-12-28 00:00:00+00:00,89.301285,9.957637,3.0
2016-12-29 00:00:00+00:00,89.890656,8.077134,3.0
2016-12-30 00:00:00+00:00,182.252,2.8681757,3.0
2016-12-31 00:00:00+00:00,191.06247,5.120691,71.0
2017-01-01 00:00:00+00:00,189.79544,9.342088,51.0
2017-01-02 00:00:00+00:00,353.32913,6.1533275,51.0
2017-01-03 00:00:00+00:00,252.9525,7.2042665,3.0
2017-01-04 00:00:00+00:00,286.31107,15.888523,51.0
2017-01-05 00:00:00+00:00,341.0586,8.84898,51.0
2017-01-06 00:00:00+00:00,118.04697,6.785372,3.0
2017-01-07 00:00:00+00:00,209.70992,7.708071,51.0
2017-01-08 00:00:00+00:00,271.21368,5.4442935,3.0
2017-01-09 00:00:00+00:00,213.147,10.916841,61.0
2017-01-10 00:00:00+00:00,288.1831,10.3897295,51.0
2017-01-11 00:00:00+00:00,260.5874,15.855266,53.0
2017-01-12 00:00:00+00:00,234.17587,23.527765,61.0
2017-01-13 00:00:00+00:00,282.3429,21.345976,71.0
2017-01-14 00:00:00+00:00,288.70383,13.5902,71.0
2017-01-15 00:00:00+00:00,245.88895,8.703043,73.0
2017-01-16 00:00:00+00:00,32.281143,7.5003533,3.0
2017-01-17 00:00:00+00:00,32.413322,11.505037,3.0
2017-01-18 00:00:00+00:00,39.827984,14.754056,1.0
2017-01-19 00:00:00+00:00,55.26175,11.583677,1.0
2017-01-20 00:00:00+00:00,77.8355,9.803818,0.0
2017-01-21 00:00:00+00:00,103.240524,6.3087463,1.0
2017-01-22 00:00:00+00:00,30.986563,7.1137767,3.0
2017-01-23 00:00:00+00:00,8.560786,8.7751045,3.0
2017-01-24 00:00:00+00:00,18.6609,4.5315547,71.0
2017-01-25 00:00:00+00:00,69.576324,7.889604,3.0
2017-01-26 00:00:00+00:00,116.370766,10.087186,3.0
2017-01-27 00:00:00+00:00,151.15887,15.261319,51.0
2017-01-28 00:00:00+00:00,186.83742,14.142339,51.0
2017-01-29 00:00:00+00:00,182.99664,14.62186,61.0
2017-01-30 00:00:00+00:00,219.33583,12.221998,55.0
2017-01-31 00:00:00+00:00,186.58183,5.9797277,51.0
2017-02-01 00:00:00+00:00,177.74654,13.602049,53.0
2017-02-02 00:00:00+00:00,177.13763,16.429731,53.0
